000 0000 0000 0000      0          Main Memory
011 1111 1111 1111      16383
100 0000 0000 0000      16384      Screen Memory
101 1111 1111 1111      24575
110 0000 0000 0000      24576      Keyboard


Jneg  Jzer  Jpos      Neg   Zero      ShouldJump    sjlt   sjze  sjgt
  0    0     0         0     0          0            0      0     0
  0    0     0         0     1          0            0      0     0
  0    0     0         1     0          0            0      0     0

  0    0     1         0     0          1            0      0     1
  0    0     1         0     1          0            0      0     0
  0    0     1         1     0          0            0      0     0

  0    1     0         0     0          0            0      0     0
  0    1     0         0     1          1            0      1     0
  0    1     0         1     0          0            0      0     0

  0    1     1         0     0          1            0      0     1
  0    1     1         0     1          1            0      1     0     
  0    1     1         1     0          0            0      0     0

  1    0     0         0     0          0            0      0     0
  1    0     0         0     1          0            0      0     0
  1    0     0         1     0          1            1      0     0

  1    0     1         0     0          1            0      0     1
  1    0     1         0     1          0            0      0     0
  1    0     1         1     0          1            1      0     0

  1    1     0         0     0          0            0      0     0
  1    1     0         0     1          1            0      1     0
  1    1     0         1     0          1            1      0     0

  1    1     1         0     0          1            0      0     1
  1    1     1         0     1          1            0      1     0
  1    1     1         1     0          1            1      0     0


